selector_name,url
.m-news-detail-area,"https://sii.or.jp/newsrelease/"
#contentsMain,"https://www.mlit.go.jp/kankocho/kouhou/news_2022.html"
#contentsMainInner,"https://www.mlit.go.jp/kankocho/page01_000604.html"
.m-grid__col1,"https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/kyufukin/index_00007.html"
#contentsColumnWrapL,"https://www.mlit.go.jp/jidosha/jidosha_tk1_000015.html"
.content,"https://www.jfa.maff.go.jp/j/gyosei/supply/hozyo/index.html"
#main,"https://www.enecho.meti.go.jp/appli/public_offer/index.html"
#tmp_contents,"https://www.jpo.go.jp/news/shinchaku/koshin/index.html"
#main,"https://www.nsr.go.jp/nra/chotatsu/hojyokin/index.html"
#update_m2,"https://www.mod.go.jp/j/update/index.html"
.m-listNews,"https://www.mhlw.go.jp/stf/new-info/"
.row,"https://www.mext.go.jp/sports/b_menu/news/index.htm"
.news_list_tag,"https://www.bunka.go.jp/whats_new.html"
#maincontent,"https://www.chusho.meti.go.jp/old_info.html"
.infoList01,"https://www.mlit.go.jp/kankocho/index.html"
.dateList,"https://www.mext.go.jp/b_menu/news/index.html"
.inner,"https://www.pref.hokkaido.lg.jp/news/"
#tmp_contents,"https://www.city.sapporo.jp/business/new.html"
.latest,"https://www.city.hakodate.hokkaido.jp/bunya/sangyoshigoto/more.html"
.content,"https://www.city.otaru.lg.jp/navi/jigyosya-news.html"
.inner-frame,"https://www.city.asahikawa.hokkaido.jp/500/news.html"
#tmp_contents,"https://www.city.muroran.lg.jp/main/shintyaku.html"
#main,"https://www.city.kushiro.lg.jp/sangyou/news.html"
.news,"https://www.city.obihiro.hokkaido.jp/sangyo/index.html"
.container_left,"https://www.city.kitami.lg.jp/administration/news/?parent=town"
.main_inner,"https://www.city.yubari.lg.jp/allNewsList.html"
#news,"https://www.city.iwamizawa.hokkaido.jp/news/"
#BoxDetail,"https://www.city.abashiri.hokkaido.jp/003news/index.html"
.readspeaker,"https://www.e-rumoi.jp/whatsnew.html"
#article,"https://www.city.tomakomai.hokkaido.jp/kanko/whatsnew.html"
#tm_maincontents,"https://www.city.wakkanai.hokkaido.jp/sangyo/sangyowhatsnew.html"
.section_information,"https://www.city.bibai.hokkaido.jp/life/1/index-2.html"
#main,"https://www.city.ashibetsu.hokkaido.jp/oshirase/sangyo/"
.list_type_a_list,"https://www.city.ebetsu.hokkaido.jp/life/2/index-2.html"
.latest,"https://www.city.akabira.hokkaido.jp/sangyoshigoto/"
#BoxDetail,"https://mombetsu.jp/news/index.html"
.contents_box,"https://www.city.shibetsu.lg.jp/www/genre/1458026995578/index.html#GNRID_1458027931166"
.entry,"http://www.city.nayoro.lg.jp/biz/news.html"
#main_area_page,"https://www.city.mikasa.hokkaido.jp/hotnews/backnumber/"
.in,"https://www.city.nemuro.hokkaido.jp/lifeinfo/sangyou_jigyousha/"
.latest,"https://www.city.chitose.lg.jp/96/"
#content,"https://www.city.takikawa.hokkaido.jp/news/index.html"
#content,"https://www.city.sunagawa.hokkaido.jp/sangyou/news/index.html"
#page_maincontents-onecol,"https://www.city.utashinai.hokkaido.jp/hotnews/backnumber/?os=0"
.entry,"https://www.city.fukagawa.lg.jp/cms/news.html"
.latest,"http://www.city.furano.hokkaido.jp/bunya/sangyoshigoto/more.html"
#row,"https://www.city.noboribetsu.lg.jp/categories/kubun/messages/more.html"
.news-area,"https://www.city.eniwa.hokkaido.jp/kurashi/sangyo_business/index.html"
#page_news,"https://www.city.date.hokkaido.jp/hotnews/category/3.html"
#sincyaku2,"https://www.city.kitahiroshima.hokkaido.jp/hotnews/backnumber/?os=105"
.list_ccc,"https://www.city.ishikari.hokkaido.jp/life/2/index-2.html"
.category-pages,"https://www.city.hokuto.hokkaido.jp/whatsnew/shisei/"
.list_type_a_list,"https://www.town.tobetsu.hokkaido.jp/life/2/index-2.html"
#sincyaku2,"https://www.vill.shinshinotsu.hokkaido.jp/hotnews/backnumber/?os=0"
#cate_news,"http://www.town.matsumae.hokkaido.jp/hotnews/category/5.html"
#new_info_area,"http://www.town.fukushima.hokkaido.jp/top/"
#page_maincontents_onecol,"http://www.town.shiriuchi.hokkaido.jp/kanko/whatsnew.html"
#top_news,"http://www.town.kikonai.hokkaido.jp/kurashi/whatsnew.html"
#page_maincontents-onecol,"https://www.town.nanae.hokkaido.jp/hotnews/backnumber/"
.news,"http://www.town.shikabe.lg.jp/hotnews/category/4.html"
.latest,"https://www.town.hokkaido-mori.lg.jp/bunya/sangyonyusatsu/more.html"
.list_type_a_list,"https://www.town.yakumo.lg.jp/life/2/index-2.html"
#main_a,"https://www.town.oshamambe.lg.jp/soshiki/list1-1.html"
