prefecture_id,name,name_hira,name_kata,logo_url,url_domain
1,森町,もりまち,モリマチ,https://storage.googleapis.com/hojokin-dock-public/logo_images/森町.png,https://www.town.hokkaido-mori.lg.jp
1,八雲町,やくもちょう,ヤクモチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/八雲町.png,https://www.town.yakumo.lg.jp
1,長万部町,おしゃまんべちょう,オシャマンベチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/長万部町.png,https://www.town.oshamambe.lg.jp
1,江差町,えさしちょう,エサシチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/江差町.png,https://www.hokkaido-esashi.jp
1,上ノ国町,かみのくにちょう,カミノクニチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/上ノ国町.png,http://www.town.kaminokuni.lg.jp
1,厚沢部町,あっさぶちょう,アッサブチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/厚沢部町.png,https://www.town.assabu.lg.jp
1,乙部町,おとべちょう,オトベチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/乙部町.png,https://www.town.otobe.lg.jp
1,奥尻町,おくしりちょう,オクシリチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/奥尻町.png,https://www.town.okushiri.lg.jp
1,今金町,いまかねちょう,イマカネチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/今金町.png,https://www.town.imakane.lg.jp
1,せたな町,せたなちょう,セタナチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/せたな町.png,https://www.town.setana.lg.jp
1,島牧村,しままきむら,シママキムラ,https://storage.googleapis.com/hojokin-dock-public/logo_images/島牧村.png,https://www.vill.shimamaki.lg.jp
1,寿都町,すっつちょう,スッツチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/寿都町.png,http://www.town.suttu.lg.jp
1,黒松内町,くろまつないちょう,クロマツナイチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/黒松内町.png,http://www.kuromatsunai.com
1,蘭越町,らんこしちょう,ランコシチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/蘭越町.png,https://www.town.rankoshi.hokkaido.jp
1,ニセコ町,にせこちょう,ニセコチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/ニセコ町.png,https://www.town.niseko.lg.jp
1,真狩村,まっかりむら,マッカリムラ,https://storage.googleapis.com/hojokin-dock-public/logo_images/真狩村.png,https://www.vill.makkari.lg.jp
1,留寿都村,るすつむら,ルスツムラ,https://storage.googleapis.com/hojokin-dock-public/logo_images/留寿都村.png,http://www.vill.rusutsu.lg.jp
1,喜茂別町,きもべつちょう,キモベツチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/喜茂別町.png,http://www.town.kimobetsu.hokkaido.jp
1,京極町,きょうごくちょう,キョウゴクチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/京極町.png,http://www.town-kyogoku.jp
1,倶知安町,くっちゃんちょう,クッチャンチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/倶知安町.png,https://www.town.kutchan.hokkaido.jp
1,共和町,きょうわちょう,キョウワチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/共和町.png,https://www.town.kyowa.hokkaido.jp
1,岩内町,いわないちょう,イワナイチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/岩内町.png,https://www.town.iwanai.hokkaido.jp
1,泊村,とまりむら,トマリムラ,https://storage.googleapis.com/hojokin-dock-public/logo_images/泊村.png,http://www.vill.tomari.hokkaido.jp
1,神恵内村,かもえないむら,カモエナイムラ,https://storage.googleapis.com/hojokin-dock-public/logo_images/神恵内村.png,https://www.vill.kamoenai.hokkaido.jp
1,積丹町,しゃこたんちょう,シャコタンチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/積丹町.png,https://www.town.shakotan.lg.jp
1,古平町,ふるびらちょう,フルビラチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/古平町.png,http://www.town.furubira.lg.jp
1,仁木町,にきちょう,ニキチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/仁木町.png,http://www.town.niki.hokkaido.jp
1,余市町,よいちちょう,ヨイチチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/余市町.png,https://www.town.yoichi.hokkaido.jp
1,赤井川村,あかいがわむら,アカイガワムラ,https://storage.googleapis.com/hojokin-dock-public/logo_images/赤井川村.png,https://www.akaigawa.com
1,南幌町,なんぽろちょう,ナンポロチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/南幌町.png,https://www.town.nanporo.hokkaido.jp
1,奈井江町,ないえちょう,ナイエチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/奈井江町.png,http://www.town.naie.hokkaido.jp
1,上砂川町,かみすながわちょう,カミスナガワチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/上砂川町.png,https://town.kamisunagawa.hokkaido.jp
1,由仁町,ゆにちょう,ユニチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/由仁町.png,http://www.town.yuni.lg.jp
1,長沼町,ながぬまちょう,ナガヌマチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/長沼町.png,https://www.maoi-net.jp
1,栗山町,くりやまちょう,クリヤマチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/栗山町.png,https://www.town.kuriyama.hokkaido.jp
1,月形町,つきがたちょう,ツキガタチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/月形町.png,http://www.town.tsukigata.hokkaido.jp
1,浦臼町,うらうすちょう,ウラウスチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/浦臼町.png,https://www.town.urausu.hokkaido.jp
1,新十津川町,しんとつかわちょう,シントツカワチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/新十津川町.png,http://www.town.shintotsukawa.lg.jp
1,妹背牛町,もせうしちょう,モセウシチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/妹背牛町.png,https://www.town.moseushi.hokkaido.jp
1,秩父別町,ちっぷべつちょう,チップベツチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/秩父別町.png,https://www.town.chippubetsu.hokkaido.jp
1,雨竜町,うりゅうちょう,ウリュウチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/雨竜町.png,https://www.town.uryu.hokkaido.jp
1,北竜町,ほくりゅうちょう,ホクリュウチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/北竜町.png,http://www.town.hokuryu.hokkaido.jp
1,沼田町,ぬまたちょう,ヌマタチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/沼田町.png,https://www.town.numata.hokkaido.jp
1,鷹栖町,たかすちょう,タカスチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/鷹栖町.png,https://www.town.takasu.hokkaido.jp
1,東神楽町,ひがしかぐらちょう,ヒガシカグラチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/東神楽町.png,https://www.town.higashikagura.lg.jp
1,当麻町,とうまちょう,トウマチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/当麻町.png,http://www.town.tohma.hokkaido.jp
1,比布町,ぴっぷちょう,ピップチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/比布町.png,http://www.town.pippu.hokkaido.jp
1,愛別町,あいべつちょう,アイベツチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/愛別町.png,http://www.town.aibetsu.hokkaido.jp
1,上川町,かみかわちょう,カミカワチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/上川町.png,https://www.town.hokkaido-kamikawa.lg.jp
1,東川町,ひがしかわちょう,ヒガシカワチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/東川町.png,https://www.town.higashikawa.hokkaido.jp
1,美瑛町,びえいちょう,ビエイチョウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/美瑛町.png,https://www.town.biei.hokkaido.jp
